Facility_ID,Facility_Name,Tele_EDcalls2014,Tele_EDcalls2015,Tele_EDcalls2016,Tele_EDcalls2017,Tele_EDcalls2018,Address,City,State,ZIP_Code,Phone_Number,Hospital_Type,Hospital_Ownership,MCRNUM,DSHOSPID,HOSPID,County_Name,HFIPSSTCO,AHAnum
250001,UNIVERSITY OF MISSISSIPPI MED CENTER,,,,,,2500 N STATE ST,JACKSON,MS,39216,(601) 984-4100,Acute Care Hospitals,Government - State,250001,6540004,28045,HINDS,28049,6540004
250002,TISHOMINGO HEALTH SERVICES INC,,,,,,1777 CURTIS DRIVE,IUKA,MS,38852,(662) 423-6051,Acute Care Hospitals,Voluntary non-profit - Private,250002,6540359,28116,TISHOMINGO,28141,6540359
250004,NORTH MISSISSIPPI MEDICAL CENTER,,,,,,830 S GLOSTER STREET,TUPELO,MS,38801,(662) 377-6608,Acute Care Hospitals,Voluntary non-profit - Private,250004,6540810,28009,LEE,28081,6540810
250006,BAPTIST MEMORIAL HOSPITAL UNION COUNTY,,,,,,200 HWY 30 WEST,NEW ALBANY,MS,38652,(662) 538-7631,Acute Care Hospitals,Voluntary non-profit - Other,250006,6540657,28046,UNION,28145,6540657
250007,MERIT HEALTH BILOXI,,,,,,150 REYNOIR STREET,BILOXI,MS,39530,(228) 436-1104,Acute Care Hospitals,Proprietary,250007,6540049,28087,HARRISON,28047,6540049
250009,MAGNOLIA REGIONAL HEALTH CENTER,,,,,,611 ALCORN DRIVE,CORINTH,MS,38834,(662) 293-1000,Acute Care Hospitals,Voluntary non-profit - Other,250009,6540206,28029,ALCORN,28003,6540206
250010,Tippah County Hospital,,,,,,1005 City Avenue North,Ripley,MS,38663,662-837-9221,Acute Care Hospitals,,250010,6540755,28080,TIPPAH,28139,6540755
250012,ALLIANCE HEALTHCARE SYSTEM,,,,,,1430 HIGHWAY 4 EAST / P O BOX 60,HOLLY SPRING,MS,38635,(662) 252-1212,Acute Care Hospitals,Physician,250012,6540335,28129,MARSHALL,28093,6540335
250017,TRACE REGIONAL HOSP AND SWING BED,,,,,,1002 EAST MADISON STREET,HOUSTON,MS,38851,(662) 456-3700,Acute Care Hospitals,Proprietary,250017,6540340,28104,CHICKASAW,28017,6540340
250018,JASPER GENERAL HOSPITAL,,,,,,15 SOUTH 6TH STREET,BAY SPRINGS,MS,39422,(601) 764-2101,Acute Care Hospitals,Government - Local,250018,6540036,28099,JASPER,28061,6540036
250019,MEMORIAL HOSPITAL AT GULFPORT,,,,,,4500 13TH STREET,GULFPORT,MS,39502,(228) 867-4000,Acute Care Hospitals,Government - Local,250019,6540300,28043,HARRISON,28047,6540300
250020,WEBSTER GENERAL HOSPITAL/ SWING BED,,,,,,70 MEDICAL PLAZA,EUPORA,MS,39744,(662) 258-6221,Acute Care Hospitals,Voluntary non-profit - Other,250020,6549040,28074,WEBSTER,28155,6549040
